Dataset	Genome_replicon	AMR_annotation_count
High complexity	GCF_005577435.1	5
High complexity	GCF_005671395.1	15
High complexity	GCF_005696555.1	1
High complexity	GCF_005845385.1	1
High complexity	GCF_005849285.1	2
High complexity	GCF_005860785.2	10
High complexity	GCF_005860795.2	1
High complexity	GCF_005860925.2	4
High complexity	GCF_005877055.1	1
High complexity	GCF_005886805.2	4
High complexity	GCF_005887635.2	3
High complexity	GCF_005890155.1	2
High complexity	GCF_005931095.1	3
High complexity	GCF_005937855.2	8
High complexity	GCF_005937885.2	3
High complexity	GCF_005937905.2	3
High complexity	GCF_005937985.2	2
High complexity	GCF_005937995.2	3
High complexity	GCF_005938645.2	3
High complexity	GCF_005938665.2	9
High complexity	GCF_005954645.2	2
High complexity	GCF_006007965.1	1
High complexity	GCF_006064855.1	1
High complexity	GCF_006065115.1	2
High complexity	GCF_006088715.1	9
High complexity	GCF_006088775.1	1
High complexity	GCF_006094275.1	5
High complexity	GCF_006094435.1	8
High complexity	GCF_006228405.1	10
High complexity	GCF_006333825.1	2
High complexity	GCF_006337105.1	3
High complexity	GCF_006337125.1	1
High complexity	GCF_006337165.1	3
High complexity	GCF_006349365.1	3
High complexity	GCF_006351905.1	2
High complexity	GCF_006351945.1	5
High complexity	GCF_006351965.1	2
High complexity	GCF_006352025.1	4
High complexity	GCF_006363955.1	2
High complexity	GCF_006385015.1	2
High complexity	GCF_006385135.1	1
High complexity	GCF_006385595.1	5
High complexity	GCF_006438915.1	9
High complexity	GCF_006439025.1	3
High complexity	GCF_006439395.2	3
High complexity	GCF_006440675.2	3
High complexity	GCF_006442545.2	2
High complexity	GCF_006442795.2	2
High complexity	GCF_006442975.2	1
High complexity	GCF_006494475.1	2
High complexity	GCF_006494775.1	5
High complexity	GCF_006494815.1	1
High complexity	GCF_006496635.1	1
High complexity	GCF_006517195.1	10
High complexity	GCF_006517215.1	1
High complexity	GCF_006517235.1	1
High complexity	GCF_006517275.1	3
High complexity	GCF_006517815.1	2
High complexity	GCF_006542275.1	4
High complexity	GCF_006542605.1	3
High complexity	GCF_006546735.2	6
High complexity	GCF_006547045.1	3
High complexity	GCF_006547065.1	2
High complexity	GCF_006547145.1	6
High complexity	GCF_006716215.1	6
High complexity	GCF_006738645.1	3
High complexity	GCF_006740705.1	5
High complexity	GCF_006742785.1	7
High complexity	GCF_006874585.1	3
High complexity	GCF_006965485.1	4
High complexity	GCF_006968745.1	3
High complexity	GCF_006970545.1	4
High complexity	GCF_006974105.1	2
High complexity	GCF_007000325.2	2
High complexity	GCF_007018435.1	1
High complexity	GCF_007018645.1	1
High complexity	GCF_007018905.1	1
High complexity	GCF_007018945.1	1
High complexity	GCF_007096345.1	2
High complexity	GCF_007113405.2	4
High complexity	GCF_007113425.2	4
High complexity	GCF_007113445.1	4
High complexity	GCF_007113465.1	4
High complexity	GCF_007113485.2	4
High complexity	GCF_007113505.2	4
High complexity	GCF_007113525.2	4
High complexity	GCF_007113545.2	4
High complexity	GCF_007113565.2	4
High complexity	GCF_007113585.2	4
High complexity	GCF_007113665.2	4
High complexity	GCF_007164525.1	5
High complexity	GCF_007183175.1	6
High complexity	GCF_007197575.1	3
High complexity	GCF_007197755.1	2
High complexity	GCF_007362775.1	4
High complexity	GCF_007431345.1	1
High complexity	GCF_007556775.1	2
High complexity	GCF_007558985.1	4
High complexity	GCF_007559005.1	2
High complexity	GCF_007633355.1	13
High complexity	GCF_007641255.1	8
High complexity	GCF_007665735.1	13
High complexity	GCF_007667425.1	1
High complexity	GCF_007672625.1	6
High complexity	GCF_007673775.1	1
High complexity	GCF_007674065.1	20
High complexity	GCF_007677425.1	5
High complexity	GCF_007679035.1	2
High complexity	GCF_007679045.1	1
High complexity	GCF_007679095.1	13
High complexity	GCF_007679325.1	1
High complexity	GCF_007679425.1	2
High complexity	GCF_007679495.1	6
High complexity	GCF_007679945.1	3
High complexity	GCF_007679965.1	5
High complexity	GCF_007680005.1	3
High complexity	GCF_007680565.1	6
High complexity	GCF_007680985.1	13
High complexity	GCF_007741475.1	3
High complexity	GCF_007741495.1	3
High complexity	GCF_007741515.1	2
High complexity	GCF_007741535.1	3
High complexity	GCF_007743815.1	5
High complexity	GCF_007744255.1	2
High complexity	GCF_007744675.1	1
High complexity	GCF_007745175.1	6
High complexity	GCF_007745435.1	2
High complexity	GCF_007746075.1	1
High complexity	GCF_007746795.1	4
High complexity	GCF_007747215.1	4
High complexity	GCF_007747445.1	1
High complexity	GCF_007747655.1	5
High complexity	GCF_007747795.1	5
High complexity	GCF_007747995.1	3
High complexity	GCF_007748035.1	3
High complexity	GCF_007748075.1	1
High complexity	GCF_007748175.1	2
High complexity	GCF_007750395.1	4
High complexity	GCF_007750855.1	2
High complexity	GCF_007751035.1	3
High complexity	GCF_007751945.1	2
High complexity	GCF_007752135.1	2
High complexity	GCF_007752345.1	1
High complexity	GCF_007752535.1	4
High complexity	GCF_007752755.1	2
High complexity	GCF_007753095.1	2
High complexity	GCF_007753265.1	3
High complexity	GCF_007754155.1	2
High complexity	GCF_007754425.1	2
High complexity	GCF_007795095.1	2
High complexity	GCF_007828845.1	5
High complexity	GCF_007833215.1	2
High complexity	GCF_007833355.1	1
High complexity	GCF_007833675.1	1
High complexity	GCF_007833915.1	5
High complexity	GCF_007855645.1	2
High complexity	GCF_007856155.1	5
High complexity	GCF_007858535.1	2
High complexity	GCF_007858975.2	11
High complexity	GCF_007859635.1	2
High complexity	GCF_007859675.1	2
High complexity	GCF_007860215.1	3
High complexity	GCF_007874125.1	3
High complexity	GCF_007896845.1	5
High complexity	GCF_007922615.2	2
High complexity	GCF_007922635.1	1
High complexity	GCF_007954405.1	4
High complexity	GCF_007954505.1	2
High complexity	GCF_007954585.1	2
High complexity	GCF_007970185.1	4
High complexity	GCF_007970665.1	1
High complexity	GCF_007970805.1	4
High complexity	GCF_007971025.1	3
High complexity	GCF_007971225.1	4
High complexity	GCF_007971385.1	2
High complexity	GCF_007971525.1	2
High complexity	GCF_007981265.1	12
High complexity	GCF_007989365.1	1
High complexity	GCF_007990675.1	4
High complexity	GCF_007991115.1	1
High complexity	GCF_007992155.1	3
High complexity	GCF_007993735.1	2
High complexity	GCF_007993775.1	2
High complexity	GCF_007995155.1	7
High complexity	GCF_008000795.1	4
High complexity	GCF_008000895.1	6
High complexity	GCF_008000915.1	2
High complexity	GCF_008001015.1	1
High complexity	GCF_008001035.1	3
High complexity	GCF_008001235.1	2
High complexity	GCF_008016805.1	2
High complexity	GCF_008017485.1	3
High complexity	GCF_008033115.1	5
High complexity	GCF_008033135.1	6
High complexity	GCF_008033235.1	1
High complexity	GCF_008035925.1	2
High complexity	GCF_008065095.1	6
High complexity	GCF_008065115.1	1
High complexity	GCF_008065135.1	1
High complexity	GCF_008065155.1	4
High complexity	GCF_008079355.1	3
High complexity	GCF_008086345.1	3
High complexity	GCF_008087625.1	7
High complexity	GCF_008087665.1	1
High complexity	GCF_008107605.1	3
High complexity	GCF_008119665.1	3
High complexity	GCF_008120895.1	4
High complexity	GCF_008121535.1	3
High complexity	GCF_008122265.1	5
High complexity	GCF_008195825.1	1
High complexity	GCF_008245145.1	5
High complexity	GCF_008247605.1	4
High complexity	GCF_008253865.1	4
High complexity	GCF_008254045.1	5
High complexity	GCF_008271365.1	1
High complexity	GCF_008271705.1	8
High complexity	GCF_008274805.1	4
High complexity	GCF_008275125.1	4
High complexity	GCF_008329645.1	3
High complexity	GCF_008329715.1	4
High complexity	GCF_008329905.1	3
High complexity	GCF_008329985.2	4
High complexity	GCF_008330225.1	2
High complexity	GCF_008330945.1	8
High complexity	GCF_008365275.1	2
High complexity	GCF_008365295.1	2
High complexity	GCF_008365315.1	1
High complexity	GCF_008369725.1	8
High complexity	GCF_008370855.1	5
High complexity	GCF_008386395.1	10
High complexity	GCF_008632455.1	6
High complexity	GCF_008689865.1	1
High complexity	GCF_008693075.1	1
High complexity	GCF_008704395.1	6
High complexity	GCF_008704445.1	3
High complexity	GCF_008704495.1	8
High complexity	GCF_008704655.1	10
High complexity	GCF_008727715.1	2
High complexity	GCF_008727735.1	9
High complexity	GCF_008727755.1	4
High complexity	GCF_008727775.1	4
High complexity	GCF_008727795.1	3
High complexity	GCF_008728025.1	3
High complexity	GCF_008728195.1	2
High complexity	GCF_008728635.1	1
High complexity	GCF_008728835.1	4
High complexity	GCF_008728855.1	4
High complexity	GCF_008761635.1	1
High complexity	GCF_008764455.1	4
High complexity	GCF_008801375.1	7
High complexity	GCF_008801455.1	7
High complexity	GCF_008806955.1	5
High complexity	GCF_008806975.1	5
High complexity	GCF_008806995.1	1
High complexity	GCF_008807035.1	5
High complexity	GCF_008807075.1	3
High complexity	GCF_008807415.1	9
High complexity	GCF_008824145.1	7
High complexity	GCF_008838325.1	2
High complexity	GCF_008843145.1	3
High complexity	GCF_008843165.1	2
High complexity	GCF_008926505.1	1
High complexity	GCF_008931465.1	31
High complexity	GCF_008932145.1	21
High complexity	GCF_008935075.1	3
High complexity	GCF_008973485.1	5
High complexity	GCF_009017495.1	3
High complexity	GCF_009025935.1	4
High complexity	GCF_009026825.1	1
High complexity	GCF_009176685.1	5
High complexity	GCF_009177095.1	4
High complexity	GCF_009177135.1	4
High complexity	GCF_009184865.1	4
High complexity	GCF_009189165.1	12
High complexity	GCF_009193375.1	4
High complexity	GCF_009223885.1	3
High complexity	GCF_009363075.1	14
High complexity	GCF_009363135.1	23
High complexity	GCF_009363155.1	7
High complexity	GCF_009363255.1	3
High complexity	GCF_009363435.1	2
High complexity	GCF_009363475.1	5
High complexity	GCF_009363495.1	3
High complexity	GCF_009363535.1	5
High complexity	GCF_009363555.1	1
High complexity	GCF_009363575.1	1
High complexity	GCF_009363595.1	4
High complexity	GCF_009363615.1	2
High complexity	GCF_009363635.1	1
High complexity	GCF_009363655.1	1
High complexity	GCF_009363675.1	2
High complexity	GCF_009363715.1	2
High complexity	GCF_009363735.1	2
High complexity	GCF_009363755.1	3
High complexity	GCF_009363795.1	1
High complexity	GCF_009363855.1	4
High complexity	GCF_009363895.1	2
High complexity	GCF_009377295.1	14
High complexity	GCF_009388985.1	3
High complexity	GCF_009394735.1	2
High complexity	GCF_009429125.1	4
High complexity	GCF_009429145.1	11
High complexity	GCF_009495655.1	4
High complexity	GCF_009497075.1	8
High complexity	GCF_009498015.1	5
High complexity	GCF_009498035.1	8
High complexity	GCF_009498275.1	6
High complexity	GCF_009557055.1	1
High complexity	GCF_009557455.1	6
High complexity	GCF_009601725.1	5
High complexity	GCF_009617955.1	4
High complexity	GCF_009646095.1	2
High complexity	GCF_009648855.1	12
High complexity	GCF_009649995.1	5
High complexity	GCF_009650215.1	6
High complexity	GCF_009650765.1	2
High complexity	GCF_009650935.1	1
High complexity	GCF_009660225.1	2
High complexity	GCF_009661075.1	1
High complexity	GCF_009664085.1	4
High complexity	GCF_009664225.1	3
High complexity	GCF_009664835.1	2
High complexity	GCF_009664855.1	5
High complexity	GCF_009671065.1	10
High complexity	GCF_009676705.1	1
High complexity	GCF_009676825.1	5
High complexity	GCF_009676845.1	13
High complexity	GCF_009676865.1	9
High complexity	GCF_009685175.1	2
High complexity	GCF_009685195.1	3
High complexity	GCF_009688945.1	1
High complexity	GCF_009688965.1	2
High complexity	GCF_009688985.1	2
High complexity	GCF_009696665.2	3
High complexity	GCF_009696685.2	3
High complexity	GCF_009707285.1	3
High complexity	GCF_009707305.1	4
High complexity	GCF_009707365.1	3
High complexity	GCF_009707425.1	5
High complexity	GCF_009707485.1	3
High complexity	GCF_009708005.2	5
High complexity	GCF_009720145.1	2
High complexity	GCF_009720185.1	1
High complexity	GCF_009720485.1	5
High complexity	GCF_009720525.1	4
High complexity	GCF_009720545.1	4
High complexity	GCF_009720625.1	7
High complexity	GCF_009728935.1	11
High complexity	GCF_009731355.2	1
High complexity	GCF_009734265.1	2
High complexity	GCF_009734385.1	5
High complexity	GCF_009734405.1	2
High complexity	GCF_009734425.1	1
High complexity	GCF_009734485.1	31
High complexity	GCF_009735625.1	4
High complexity	GCF_009738185.1	13
High complexity	GCF_009739515.1	2
High complexity	GCF_009746125.1	1
High complexity	GCF_009749365.1	3
High complexity	GCF_009749485.1	7
High complexity	GCF_009754905.2	1
High complexity	GCF_009756665.1	6
High complexity	GCF_009762325.1	3
High complexity	GCF_009762795.1	3
High complexity	GCF_009768975.1	2
High complexity	GCF_009769165.1	3
High complexity	GCF_009789595.1	3
High complexity	GCF_009789635.1	4
High complexity	GCF_009789655.1	5
High complexity	GCF_009789675.1	5
High complexity	GCF_009792355.1	1
High complexity	GCF_009796285.1	4
High complexity	GCF_009796745.1	4
High complexity	GCF_009796845.1	4
High complexity	GCF_009817885.1	14
High complexity	GCF_009827115.1	11
High complexity	GCF_009832905.1	4
High complexity	GCF_009832925.1	6
High complexity	GCF_009834025.1	3
High complexity	GCF_009834105.1	3
High complexity	GCF_009834125.1	7
High complexity	GCF_009834145.1	2
High complexity	GCF_009834165.1	3
High complexity	GCF_009834185.1	2
High complexity	GCF_009834225.1	1
High complexity	GCF_009834245.1	1
High complexity	GCF_009834265.1	2
High complexity	GCF_009834345.1	3
High complexity	GCF_009834515.1	10
High complexity	GCF_009834565.1	10
High complexity	GCF_009834925.2	3
High complexity	GCF_009846825.1	3
High complexity	GCF_009856625.1	3
High complexity	GCF_009856645.1	1
High complexity	GCF_009857135.1	3
High complexity	GCF_009858335.1	5
High complexity	GCF_009859475.1	3
High complexity	GCF_009859915.1	5
High complexity	GCF_009862005.1	3
High complexity	GCF_009866585.1	2
High complexity	GCF_009866655.1	1
High complexity	GCF_009866705.1	6
High complexity	GCF_009866745.1	7
High complexity	GCF_009866765.1	8
High complexity	GCF_009866785.1	9
High complexity	GCF_009867075.1	5
High complexity	GCF_009873475.1	6
High complexity	GCF_009873495.1	6
High complexity	GCF_009903625.1	4
High complexity	GCF_009905215.1	2
High complexity	GCF_009906855.1	4
High complexity	GCF_009906935.1	3
High complexity	GCF_009911795.1	2
High complexity	GCF_009913235.1	2
High complexity	GCF_009913435.1	2
High complexity	GCF_009914055.1	9
High complexity	GCF_009914215.2	1
High complexity	GCF_009914315.1	1
High complexity	GCF_009930795.1	3
High complexity	GCF_009930815.1	4
High complexity	GCF_009930875.1	1
High complexity	GCF_009931255.1	7
High complexity	GCF_009931655.1	2
High complexity	GCF_009935825.1	2
High complexity	GCF_009936375.1	3
High complexity	GCF_009937955.1	5
High complexity	GCF_009937975.1	4
High complexity	GCF_009937995.1	1
High complexity	GCF_009938015.1	1
High complexity	GCF_009938265.1	6
High complexity	GCF_010092425.1	6
High complexity	GCF_010092985.1	3
High complexity	GCF_010093025.1	2
High complexity	GCF_010093045.1	2
High complexity	GCF_010093065.1	5
High complexity	GCF_010093235.1	5
High complexity	GCF_010104355.1	3
High complexity	GCF_010119335.3	21
High complexity	GCF_010119915.1	2
High complexity	GCF_010119935.1	8
High complexity	GCF_010119975.1	2
High complexity	GCF_010233585.1	7
High complexity	GCF_010365285.1	12
High complexity	GCF_010384365.1	4
High complexity	GCF_010450915.1	11
High complexity	GCF_010499425.1	4
High complexity	GCF_010499545.1	2
High complexity	GCF_010634845.1	9
High complexity	GCF_010646885.2	4
High complexity	GCF_010669125.1	4
High complexity	GCF_010669145.1	3
High complexity	GCF_010669185.1	3
High complexity	GCF_010669285.1	4
High complexity	GCF_010671825.1	5
High complexity	GCF_010681825.2	2
High complexity	GCF_010682065.1	3
High complexity	GCF_010692925.1	34
High complexity	GCF_010725485.1	6
High complexity	GCF_010726505.1	5
High complexity	GCF_010726765.1	4
High complexity	GCF_010731575.1	6
High complexity	GCF_010731855.1	3
High complexity	GCF_010731875.1	3
High complexity	GCF_010731895.1	5
High complexity	GCF_010906985.2	5
High complexity	GCF_010977575.1	7
High complexity	GCF_010983895.1	3
High complexity	GCF_010994285.1	1
High complexity	GCF_011038645.2	1
High complexity	GCF_011038655.2	3
High complexity	GCF_011039955.1	5
High complexity	GCF_011044155.1	1
High complexity	GCF_011044495.1	8
High complexity	GCF_011045195.1	3
High complexity	GCF_011045535.1	2
High complexity	GCF_011046245.1	3
High complexity	GCF_011046485.1	2
High complexity	GCF_011046535.1	4
High complexity	GCF_011046555.1	1
High complexity	GCF_011046735.1	5
High complexity	GCF_011058295.1	6
High complexity	GCF_011064265.1	1
High complexity	GCF_011066545.1	3
High complexity	GCF_011193355.1	4
High complexity	GCF_011290345.1	4
High complexity	GCF_011290365.1	30
High complexity	GCF_011290485.1	1
High complexity	GCF_011299575.1	2
High complexity	GCF_011299595.1	1
High complexity	GCF_011300215.1	1
High complexity	GCF_011300455.1	2
High complexity	GCF_011300685.1	4
High complexity	GCF_011300875.1	4
High complexity	GCF_011302055.1	1
High complexity	GCF_011302915.1	1
High complexity	GCF_011303555.1	1
High complexity	GCF_011303755.1	1
High complexity	GCF_011305535.1	1
High complexity	GCF_011305775.1	2
High complexity	GCF_011305995.1	9
High complexity	GCF_011326135.1	4
High complexity	GCF_011382965.1	2
High complexity	GCF_011382985.1	6
High complexity	GCF_011383005.1	4
High complexity	GCF_011388195.1	1
High complexity	GCF_011388215.1	3
High complexity	GCF_011393335.1	4
High complexity	GCF_011398925.1	3
High complexity	GCF_011405515.1	4
High complexity	GCF_011405655.1	5
High complexity	GCF_011420305.2	1
High complexity	GCF_011492945.1	11
High complexity	GCF_011492965.1	10
High complexity	GCF_011493005.1	5
High complexity	GCF_011516645.4	4
High complexity	GCF_011516665.3	4
High complexity	GCF_011516865.1	1
High complexity	GCF_011524325.1	10
High complexity	GCF_011602485.1	7
High complexity	GCF_011604665.1	5
High complexity	GCF_011604685.1	3
High complexity	GCF_011617245.1	2
High complexity	GCF_011617465.1	2
High complexity	GCF_011617705.1	2
High complexity	GCF_011650445.1	2
High complexity	GCF_011682235.2	1
High complexity	GCF_011694515.1	4
High complexity	GCF_011694815.1	4
High complexity	GCF_011745145.1	6
High complexity	GCF_011751035.2	5
High complexity	GCF_011751745.2	1
High complexity	GCF_011751765.2	2
High complexity	GCF_011751885.2	1
High complexity	GCF_011761465.1	1
High complexity	GCF_011762035.1	4
High complexity	GCF_011764485.1	2
High complexity	GCF_011764545.1	5
High complexity	GCF_011764565.1	9
High complexity	GCF_011764585.1	1
High complexity	GCF_011765175.1	5
High complexity	GCF_011769905.1	2
High complexity	GCF_011800555.1	1
High complexity	GCF_011801145.1	5
High complexity	GCF_011801365.1	2
High complexity	GCF_011820545.1	8
High complexity	GCF_012044895.1	2
High complexity	GCF_012272695.1	2
High complexity	GCF_012272955.1	3
High complexity	GCF_012273015.1	2
High complexity	GCF_012273235.1	23
High complexity	GCF_012273495.1	5
High complexity	GCF_012273515.1	3
High complexity	GCF_012273535.1	4
High complexity	GCF_012273735.1	5
High complexity	GCF_012275145.1	8
High complexity	GCF_012277275.1	1
High complexity	GCF_012277335.1	4
High complexity	GCF_012295505.1	3
High complexity	GCF_012295525.1	4
High complexity	GCF_012295575.1	3
High complexity	GCF_012295595.1	2
High complexity	GCF_012317045.1	3
High complexity	GCF_012516375.2	6
High complexity	GCF_012516395.1	3
High complexity	GCF_012516435.1	4
High complexity	GCF_012530535.1	2
High complexity	GCF_012584515.1	2
High complexity	GCF_012676905.1	7
High complexity	GCF_012689525.1	7
High complexity	GCF_012769535.1	3
High complexity	GCF_012840045.1	4
High complexity	GCF_012842225.1	10
High complexity	GCF_012843505.1	7
High complexity	GCF_012844045.1	2
High complexity	GCF_012844345.1	13
High complexity	GCF_012844365.1	2
High complexity	GCF_012849055.1	2
High complexity	GCF_012849095.1	15
High complexity	GCF_012849215.1	5
High complexity	GCF_012849375.1	4
High complexity	GCF_012849555.1	3
High complexity	GCF_012910825.1	4
High complexity	GCF_012913485.1	4
High complexity	GCF_012931845.1	6
High complexity	GCF_012932215.1	2
High complexity	GCF_012935655.1	9
High complexity	GCF_012935695.1	11
High complexity	GCF_012935715.1	10
High complexity	GCF_012935735.1	6
High complexity	GCF_012955605.1	2
High complexity	GCF_012971725.1	11
High complexity	GCF_012971745.1	7
High complexity	GCF_012974285.1	1
High complexity	GCF_012974645.1	4
High complexity	GCF_012975065.1	5
High complexity	GCF_012979535.1	2
High complexity	GCF_013000985.1	3
High complexity	GCF_013003965.1	4
High complexity	GCF_013003985.1	3
High complexity	GCF_013004005.1	2
High complexity	GCF_013004025.1	2
High complexity	GCF_013004065.1	1
High complexity	GCF_013009075.1	2
High complexity	GCF_013009255.1	7
High complexity	GCF_013046785.1	5
High complexity	GCF_013085505.1	10
High complexity	GCF_013085545.1	4
High complexity	GCF_013085925.1	26
High complexity	GCF_013112255.2	1
High complexity	GCF_013113715.1	2
High complexity	GCF_013113735.1	1
High complexity	GCF_013116665.1	9
High complexity	GCF_013127315.1	4
High complexity	GCF_013127955.1	3
High complexity	GCF_013128195.2	6
High complexity	GCF_013137895.1	2
High complexity	GCF_013154915.1	1
High complexity	GCF_013155125.1	3
High complexity	GCF_013168275.1	1
High complexity	GCF_013170725.1	3
High complexity	GCF_013170765.1	3
High complexity	GCF_013170805.1	2
High complexity	GCF_013170825.1	3
High complexity	GCF_013177295.1	1
High complexity	GCF_013177315.1	4
High complexity	GCF_013177705.1	5
High complexity	GCF_013184245.1	8
High complexity	GCF_013184985.2	1
High complexity	GCF_013200955.2	6
High complexity	GCF_013201035.1	3
High complexity	GCF_013201075.1	2
High complexity	GCF_013204785.1	2
High complexity	GCF_013211575.1	6
High complexity	GCF_013234275.1	19
High complexity	GCF_013240495.1	5
High complexity	GCF_013256425.1	4
High complexity	GCF_013256625.1	2
High complexity	GCF_013260315.1	15
High complexity	GCF_013267355.1	8
High complexity	GCF_013282215.1	8
High complexity	GCF_013282625.1	2
High complexity	GCF_013283855.1	2
High complexity	GCF_013283875.1	2
High complexity	GCF_013283895.1	5
High complexity	GCF_013284035.1	2
High complexity	GCF_013284375.2	9
High complexity	GCF_013297165.1	9
High complexity	GCF_013305665.1	9
High complexity	GCF_013305685.1	11
High complexity	GCF_013307435.2	5
High complexity	GCF_013334205.1	1
High complexity	GCF_013335765.1	1
High complexity	GCF_013340725.1	6
High complexity	GCF_013341015.1	4
High complexity	GCF_013341275.1	2
High complexity	GCF_013343005.1	2
High complexity	GCF_013344685.1	2
High complexity	GCF_013347265.1	10
High complexity	GCF_013348785.1	2
High complexity	GCF_013348805.1	7
High complexity	GCF_013358335.1	6
High complexity	GCF_013358405.1	1
High complexity	GCF_013359655.1	6
High complexity	GCF_013359935.1	9
High complexity	GCF_013363625.1	4
High complexity	GCF_013364075.1	10
High complexity	GCF_013364095.1	4
High complexity	GCF_013364155.1	4
High complexity	GCF_013364175.1	1
High complexity	GCF_013364195.1	5
High complexity	GCF_013364215.1	2
High complexity	GCF_013364235.1	3
High complexity	GCF_013364275.1	5
High complexity	GCF_013364355.1	5
High complexity	GCF_013364375.1	4
High complexity	GCF_013365515.1	6
High complexity	GCF_013367775.1	4
High complexity	GCF_013374095.1	2
High complexity	GCF_013374115.1	3
High complexity	GCF_013374995.1	6
High complexity	GCF_013375035.1	4
High complexity	GCF_013376495.1	3
High complexity	GCF_013376875.1	3
High complexity	GCF_013378075.1	2
High complexity	GCF_013385335.1	6
High complexity	GCF_013388395.1	2
High complexity	GCF_013389595.1	5
High complexity	GCF_013393385.1	4
High complexity	GCF_013393905.1	5
High complexity	GCF_013393925.1	7
High complexity	GCF_013393945.1	3
High complexity	GCF_013394065.1	6
High complexity	GCF_013394225.1	7
High complexity	GCF_013394715.1	1
High complexity	GCF_013395055.1	3
High complexity	GCF_013401535.1	4
High complexity	GCF_013401555.1	14
High complexity	GCF_013403565.1	11
High complexity	GCF_013408165.1	4
High complexity	GCF_013409125.1	6
High complexity	GCF_013410155.2	4
High complexity	GCF_013410185.1	4
High complexity	GCF_013414305.1	5
High complexity	GCF_013414345.1	2
High complexity	GCF_013423785.1	4
High complexity	GCF_013423905.1	4
High complexity	GCF_013426895.1	12
High complexity	GCF_013426915.1	13
High complexity	GCF_013459415.1	3
High complexity	GCF_013466425.1	5
High complexity	GCF_013466785.1	2
High complexity	GCF_013624435.2	1
High complexity	GCF_013694245.2	7
High complexity	GCF_013741155.1	34
High complexity	GCF_013761125.1	1
High complexity	GCF_013782625.1	34
High complexity	GCF_013822785.1	7
High complexity	GCF_013836145.1	34
High complexity	GCF_013911085.1	5
High complexity	GCF_013927005.1	35
High complexity	GCF_014023275.1	5
High complexity	GCF_014042015.1	1
High complexity	GCF_014054965.1	1
High complexity	GCF_014058705.1	1
High complexity	GCF_014069575.1	3
High complexity	GCF_014070435.1	5
High complexity	GCF_014075995.1	5
High complexity	GCF_014083945.1	1
High complexity	GCF_014083965.1	10
High complexity	GCF_014083985.1	1
High complexity	GCF_014084105.1	5
High complexity	GCF_014084125.1	2
High complexity	GCF_014107495.1	9
High complexity	GCF_014108865.1	2
High complexity	GCF_014109725.1	1
High complexity	GCF_014109765.1	6
High complexity	GCF_014117325.1	7
High complexity	GCF_014117445.1	2
High complexity	GCF_014126615.1	4
High complexity	GCF_014127285.1	7
High complexity	GCF_014168535.1	3
High complexity	GCF_014168615.1	23
High complexity	GCF_014168815.1	31
High complexity	GCF_014169075.1	28
High complexity	GCF_014171475.1	4
High complexity	GCF_014171575.1	2
High complexity	GCF_014171595.1	2
High complexity	GCF_014171775.1	2
High complexity	GCF_014189435.1	2
High complexity	GCF_014189505.1	4
High complexity	GCF_014191015.1	3
High complexity	GCF_014191465.1	1
High complexity	GCF_014191545.1	2
High complexity	GCF_014191635.1	1
High complexity	GCF_014191785.1	9
High complexity	GCF_014192225.1	9
High complexity	GCF_014196125.1	2
High complexity	GCF_014196855.1	2
High complexity	GCF_014198365.1	6
High complexity	GCF_014198755.1	4
High complexity	GCF_014199315.1	3
High complexity	GCF_014200955.1	7
High complexity	GCF_014201135.1	4
High complexity	GCF_014202795.1	1
High complexity	GCF_014202835.1	2
High complexity	GCF_014203035.1	1
High complexity	GCF_014203225.1	5
High complexity	GCF_014203365.1	1
High complexity	GCF_014203425.1	4
High complexity	GCF_014203625.1	1
High complexity	GCF_014205165.1	5
High complexity	GCF_014205315.1	2
High complexity	GCF_014207395.1	1
High complexity	GCF_014211955.1	3
High complexity	GCF_014211975.1	3
High complexity	GCF_014216335.1	2
High complexity	GCF_014217255.1	3
High complexity	GCF_014217545.1	2
High complexity	GCF_014217565.1	16
High complexity	GCF_014217585.1	6
High complexity	GCF_014217605.1	2
High complexity	GCF_014217645.1	2
High complexity	GCF_014217665.1	3
High complexity	GCF_014217685.1	2
High complexity	GCF_014217785.1	2
High complexity	GCF_014217805.1	5
High complexity	GCF_014217835.1	5
High complexity	GCF_014217855.1	1
High complexity	GCF_014217875.1	3
High complexity	GCF_014217915.1	3
High complexity	GCF_014218275.1	2
High complexity	GCF_014218315.1	1
High complexity	GCF_014231195.1	7
High complexity	GCF_014235185.1	2
High complexity	GCF_014235845.1	1
High complexity	GCF_014236795.1	2
High complexity	GCF_014236815.1	7
High complexity	GCF_014236835.1	6
High complexity	GCF_014236855.1	4
High complexity	GCF_014250155.1	2
High complexity	GCF_014250475.1	2
High complexity	GCF_014250515.1	3
High complexity	GCF_014262665.1	1
High complexity	GCF_014263395.1	3
High complexity	GCF_014268205.2	9
High complexity	GCF_014268275.3	9
High complexity	GCF_014268375.2	11
High complexity	GCF_014268445.2	9
High complexity	GCF_014268595.2	7
High complexity	GCF_014268695.2	7
High complexity	GCF_014268755.2	8
High complexity	GCF_014268885.2	4
High complexity	GCF_014269225.2	7
High complexity	GCF_014274465.1	5
High complexity	GCF_014274685.1	3
High complexity	GCF_014279595.1	3
High complexity	GCF_014279615.1	2
High complexity	GCF_014279635.1	2
High complexity	GCF_014279755.1	1
High complexity	GCF_014279795.1	2
High complexity	GCF_014279815.1	3
High complexity	GCF_014279855.1	3
