<<<<<<< HEAD
name	taxid	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	percent_total_reads	accn
Halomonas sp. R57-5	1610576	S	529	100	629	1.00E-05	1.00E-03	GCF_900070345.1
Halomonas sp. KO116	1504981	S	513	136	649	1.00E-05	1.00E-03	GCF_000734975.2
Halomonas sp. FeN2	2832500	S	492	100	592	1.00E-05	1.00E-03	GCF_020595105.1
Halomonas sp. HAL1	550984	S	406	87	493	1.00E-05	1.00E-03	GCF_030544485.1
Halomonas sp. 7T	2893469	S	388	124	512	1.00E-05	1.00E-03	GCF_025643255.1
Halomonas sp. TD01	999141	S	335	49	384	1.00E-05	1.00E-03	GCF_923868895.1
Halomonas sp. HL-93	1666906	S	166	192	358	1.00E-05	1.00E-03	GCF_900086985.1
Halomonas sp. hl-4	1761789	S	161	181	342	1.00E-05	1.00E-03	GCF_900215475.1
Halomonas sp. TA6	2730854	S	1	429	430	1.00E-05	1.00E-03	GCF_013004025.1
Halomonas sp. TA22	2730914	S	1	455	456	1.00E-05	1.00E-03	GCF_013009075.1
Halomonas profundi	2852117	S	516	40	556	1.00E-05	1.00E-03	GCF_019722725.1
Halomonas alkaliantarctica	232346	S	404	37	441	1.00E-05	1.00E-03	GCF_029854215.1
Halomonas venusta	44935	S	249	154	403	1.00E-05	1.00E-03	GCF_026811385.1
Cobetia sp. ICG0124	2053669	S	36	785	821	1.00E-05	1.00E-03	GCF_004006355.1
Cobetia marina	28258	S	59	677	736	1.00E-05	1.00E-03	GCF_030548825.1
Zymobacter palmae	33074	S	744	77	821	1.00E-05	1.00E-03	GCF_003610015.1
Marinobacterium sediminicola	518898	S	799	40	839	1.00E-05	1.00E-03	GCF_900184155.1
Marinobacterium iners	48076	S	701	191	892	1.00E-05	1.00E-03	GCF_017310015.1
Thalassolituus sp. C2-1	2597518	S	399	121	520	1.00E-05	1.00E-03	GCF_022832715.1
Thalassolituus hydrocarboniclasticus	2742796	S	394	128	522	1.00E-05	1.00E-03	GCF_025345565.1
Thalassolituus oleivorans	187493	S	289	48	337	1.00E-05	1.00E-03	GCF_029210095.1
Amphritea atlantica	355243	S	618	26	644	1.00E-05	1.00E-03	GCF_024347255.1
Aliamphritea hakodatensis	2895352	S	572	39	611	1.00E-05	1.00E-03	GCF_024347195.1
Neptuniibacter halophilus	651666	S	590	9	599	1.00E-05	1.00E-03	GCF_030295765.1
Bacterioplanes sanyensis	1249553	S	527	17	544	1.00E-05	1.00E-03	GCF_014652515.1
Nitrincola iocasae	2614693	S	439	53	492	1.00E-05	1.00E-03	GCF_008727795.1
Alcanivorax borkumensis	59754	S	80	370	450	1.00E-05	1.00E-03	GCF_000009365.1
Ketobacter alkanivorans	1917421	S	643	78	721	1.00E-05	1.00E-03	GCF_002863865.1
Reinekea forsetii	1336806	S	660	9	669	1.00E-05	1.00E-03	GCF_018860385.1
Gynuella sunshinyii	1445505	S	655	7	662	1.00E-05	1.00E-03	GCF_000940805.1
Salinispirillum sp. LH 10-3-1	2952525	S	517	11	528	1.00E-05	1.00E-03	GCF_030643825.1
Endozoicomonas sp. GU-1	3009078	S	448	26	474	1.00E-05	1.00E-03	GCF_027366555.1
Endozoicomonas sp. 4G	2872754	S	369	13	382	1.00E-05	1.00E-03	GCF_023822025.1
Endozoicomonas sp. SCSIO W0465	2918516	S	353	26	379	1.00E-05	1.00E-03	GCF_023716865.1
Endozoicomonas montiporae	1027273	S	428	18	446	1.00E-05	1.00E-03	GCF_000722565.1
Endozoicomonas euniceicola	1234143	S	422	17	439	1.00E-05	1.00E-03	GCF_025562755.1
Litorivicinus lipolyticus	418701	S	846	9	855	1.00E-05	1.00E-03	GCF_009650135.1
Oleiphilus messinensis	141451	S	376	40	416	1.00E-05	1.00E-03	GCF_900108075.1
Halorhodospira halochloris	1052	S	802	4	806	1.00E-05	1.00E-03	GCF_022229325.1
Ectothiorhodosinus mongolicus	233100	S	821	89	910	1.00E-05	1.00E-03	GCF_022406875.1
Nitrosococcus halophilus	133539	S	632	35	667	1.00E-05	1.00E-03	GCF_000024725.1
Nitrosococcus watsonii	473531	S	624	143	767	1.00E-05	1.00E-03	GCF_000143085.1
Nitrosococcus wardiae	1814290	S	548	26	574	1.00E-05	1.00E-03	GCF_004421105.1
Nitrosococcus oceani	1229	S	495	106	601	1.00E-05	1.00E-03	GCF_007990675.1
Rheinheimera sp. F8	1763998	S	453	9	462	1.00E-05	1.00E-03	GCF_001518915.1
Halothiobacillus neapolitanus	927	S	852	66	918	1.00E-05	1.00E-03	GCF_004361875.1
Methylomonas sp. LW13	107637	S	553	356	909	1.00E-05	1.00E-03	GCF_016865255.1
Methylomonas paludis	1173101	S	576	25	601	1.00E-05	1.00E-03	GCF_018734325.1
Methylobacter sp. S3L5C	2839024	S	407	20	427	1.00E-05	1.00E-03	GCF_022788635.1
Methylotuvimicrobium alcaliphilum	271065	S	548	371	919	1.00E-05	1.00E-03	GCF_000968535.2
Methylotuvimicrobium buryatense	95641	S	512	338	850	1.00E-05	1.00E-03	GCF_005931095.1
Methylovulum psychrotolerans	1704499	S	832	18	850	1.00E-05	1.00E-03	GCF_018722605.1
Aeromonas sp. CU5	2033033	S	506	105	611	1.00E-05	1.00E-03	GCF_002586745.1
Aeromonas sp. FDAARGOS 1409	2778058	S	391	327	718	1.00E-05	1.00E-03	GCF_019048705.1
Aeromonas sp. CA23	2033032	S	352	194	546	1.00E-05	1.00E-03	GCF_002587065.1
Aeromonas sp. BC14	2970966	S	146	300	446	1.00E-05	1.00E-03	GCF_026651585.1
Aeromonas sp. ASNIH4	1636609	S	128	470	598	1.00E-05	1.00E-03	GCF_002934425.1
Aeromonas sp. FDAARGOS 1407	2778056	S	115	226	341	1.00E-05	1.00E-03	GCF_019048725.1
Aeromonas sp. 2692-1	2560029	S	85	327	412	1.00E-05	1.00E-03	GCF_013085505.1
Aeromonas sp. FDAARGOS 1403	2778052	S	82	261	343	1.00E-05	1.00E-03	GCF_019047325.1
Aeromonas sp. FDAARGOS 1408	2778057	S	81	506	587	1.00E-05	1.00E-03	GCF_019048665.1
Aeromonas sp. ASNIH2	1636607	S	74	733	807	1.00E-05	1.00E-03	GCF_002934795.1
Aeromonas sp. FDAARGOS 1402	2778051	S	38	387	425	1.00E-05	1.00E-03	GCF_019046925.1
Aeromonas sp. WP2-W18-CRE-05	2675707	S	23	797	820	1.00E-05	1.00E-03	GCF_014168615.1
Aeromonas sp. ASNIH1	1636606	S	15	536	551	1.00E-05	1.00E-03	GCF_002934285.1
Aeromonas bestiarum	105751	S	310	187	497	1.00E-05	1.00E-03	GCF_030386515.1
Aeromonas rivipollensis	948519	S	266	157	423	1.00E-05	1.00E-03	GCF_030386755.1
Dongshaea marina	2047966	S	564	22	586	1.00E-05	1.00E-03	GCF_003072645.1
Tolumonas auensis	43948	S	316	116	432	1.00E-05	1.00E-03	GCF_000023065.1
Shewanella sp. DAU305	2991940	S	94	594	688	1.00E-05	1.00E-03	GCF_026802235.1
Shewanella khirikhana	1965282	S	617	40	657	1.00E-05	1.00E-03	GCF_003957745.1
Shewanella cyperi	2814292	S	556	136	692	1.00E-05	1.00E-03	GCF_017354985.1
Shewanella litorisediminis	1173586	S	461	48	509	1.00E-05	1.00E-03	GCF_023349165.1
Shewanella marisflavi	260364	S	456	40	496	1.00E-05	1.00E-03	GCF_023283925.1
Shewanella baltica	62322	S	394	524	918	1.00E-05	1.00E-03	GCF_031583995.1
Shewanella amazonensis	60478	S	355	40	395	1.00E-05	1.00E-03	GCF_000015245.1
Shewanella sedimentimangrovi	2814293	S	343	130	473	1.00E-05	1.00E-03	GCF_017354965.1
Shewanella dokdonensis	712036	S	334	13	347	1.00E-05	1.00E-03	GCF_023283565.1
Shewanella rhizosphaerae	2864207	S	217	199	416	1.00E-05	1.00E-03	GCF_019457655.1
Shewanella spartinae	2864205	S	207	205	412	1.00E-05	1.00E-03	GCF_019457555.1
Shewanella chilikensis	558541	S	100	234	334	1.00E-05	1.00E-03	GCF_023283475.1
Pseudoalteromonas sp. R3	1709477	S	314	16	330	1.00E-05	1.00E-03	GCF_004014715.1
Pseudoalteromonas rubra	43658	S	718	28	746	1.00E-05	1.00E-03	GCF_005886805.2
Pseudoalteromonas viridis	339617	S	369	54	423	1.00E-05	1.00E-03	GCF_017742995.1
Pseudoalteromonas luteoviolacea	43657	S	327	16	343	1.00E-05	1.00E-03	GCF_021654285.1
Alteromonas sp. RKMC-009	2267264	S	348	20	368	1.00E-05	1.00E-03	GCF_003584565.2
Alteromonas macleodii	28108	S	544	105	649	1.00E-05	1.00E-03	GCF_950059515.1
Alteromonas mediterranea	314275	S	398	249	647	1.00E-05	1.00E-03	GCF_927797765.1
Salinimonas marina	2785918	S	357	16	373	1.00E-05	1.00E-03	GCF_015644725.1
Salinimonas lutimaris	914153	S	301	31	332	1.00E-05	1.00E-03	GCF_005222225.1
Lacimicrobium alkaliphilum	1526571	S	554	15	569	1.00E-05	1.00E-03	GCF_014640135.1
Saliniradius amylolyticus	2183582	S	486	18	504	1.00E-05	1.00E-03	GCF_003143555.1
Ferrimonas lipolytica	2724191	S	342	22	364	1.00E-05	1.00E-03	GCF_012295575.1
Thalassomonas viridans	137584	S	687	31	718	1.00E-05	1.00E-03	GCF_000948985.2
Thalassomonas actiniarum	485447	S	531	51	582	1.00E-05	1.00E-03	GCF_000948975.2
Thalassomonas haliotis	485448	S	451	48	499	1.00E-05	1.00E-03	GCF_028657945.1
Idiomarina sp. OT37-5b	2100422	S	424	97	521	1.00E-05	1.00E-03	GCF_002968395.1
Idiomarina loihiensis	135577	S	455	167	622	1.00E-05	1.00E-03	GCF_024584785.1
Microbulbifer sp. MI-G	2944933	S	722	93	815	1.00E-05	1.00E-03	GCF_030440425.1
Microbulbifer sp. GL-2	2591606	S	404	204	608	1.00E-05	1.00E-03	GCF_007183175.1
Microbulbifer sp. MLAF003	3032582	S	293	304	597	1.00E-05	1.00E-03	GCF_030012965.1
Microbulbifer sp. A4B17	359370	S	228	654	882	1.00E-05	1.00E-03	GCF_003076275.1
Microbulbifer agarilyticus	260552	S	767	53	820	1.00E-05	1.00E-03	GCF_020171345.1
Microbulbifer variabilis	266805	S	342	115	457	1.00E-05	1.00E-03	GCF_023716485.1
Cellvibrio sp. PSBB006	1987723	S	924	10	934	1.00E-05	1.00E-03	GCF_002162135.1
Cellvibrio sp. KY-GH-1	2303332	S	528	39	567	1.00E-05	1.00E-03	GCF_008806975.1
Cellvibrio sp. PSBB023	1945512	S	490	17	507	1.00E-05	1.00E-03	GCF_002007605.1
Cellvibrio sp. QJXJ	2964606	S	186	169	355	1.00E-05	1.00E-03	GCF_024452345.1
Cellvibrio sp. KY-YJ-3	454662	S	183	168	351	1.00E-05	1.00E-03	GCF_008806955.1
Cellvibrio japonicus	155077	S	606	75	681	1.00E-05	1.00E-03	GCF_008120895.1
Simiduia sp. 21SJ11W-1	2909669	S	789	30	819	1.00E-05	1.00E-03	GCF_024138675.1
Teredinibacter turnerae	2426	S	522	8	530	1.00E-05	1.00E-03	GCF_000964255.1
Teredinibacter haidensis	2731755	S	337	14	351	1.00E-05	1.00E-03	GCF_014211975.1
Gilvimarinus sp. DA14	2956798	S	719	9	728	1.00E-05	1.00E-03	GCF_024204685.1
Saccharophagus degradans	86304	S	397	14	411	1.00E-05	1.00E-03	GCF_030547055.1
Aequoribacter fuscus	2518989	S	411	59	470	1.00E-05	1.00E-03	GCF_009910365.1
Candidatus Paraluminiphilus aquimaris	2518994	S	354	3	357	1.00E-05	1.00E-03	GCF_026230195.1
Spongiibacter taiwanensis	1748242	S	888	10	898	1.00E-05	1.00E-03	GCF_023702635.1
Spongiibacter sp. IMCC21906	1620392	S	373	82	455	1.00E-05	1.00E-03	GCF_001010805.1
Zhongshania aliphaticivorans	1470434	S	522	23	545	1.00E-05	1.00E-03	GCF_902705895.1
Vibrio sp. THAF191d	2661922	S	2	784	786	1.00E-05	1.00E-03	GCF_009676865.1
Vibrio campbellii	680	S	341	301	642	1.00E-05	1.00E-03	GCF_028743655.1
Vibrio alginolyticus	663	S	210	623	833	1.00E-05	1.00E-03	GCF_032463505.1
Vibrio harveyi	669	S	202	276	478	1.00E-05	1.00E-03	GCF_030388405.1
Vibrio owensii	696485	S	202	136	338	1.00E-05	1.00E-03	GCF_027591785.1
Vibrio vulnificus	672	S	835	120	955	1.00E-05	1.00E-03	GCF_032423895.1
Vibrio cholerae	666	S	495	431	926	1.00E-05	1.00E-03	GCF_032335255.1
Vibrio mimicus	674	S	412	86	498	1.00E-05	1.00E-03	GCF_019846815.1
Vibrio navarrensis	29495	S	411	86	497	1.00E-05	1.00E-03	GCF_016094345.1
Vibrio anguillarum	55601	S	410	398	808	1.00E-05	1.00E-03	GCF_030851405.1
Vibrio nigripulchritudo	28173	S	358	80	438	1.00E-05	1.00E-03	GCF_027924845.1
Vibrio quintilis	1117707	S	347	16	363	1.00E-05	1.00E-03	GCF_024529975.1
Vibrio gazogenes	687	S	343	23	366	1.00E-05	1.00E-03	GCF_024346915.1
Vibrio coralliilyticus	190893	S	304	179	483	1.00E-05	1.00E-03	GCF_029541605.1
Vibrio metoecus	1481663	S	258	87	345	1.00E-05	1.00E-03	GCF_030580635.1
Vibrio alfacsensis	1074311	S	234	110	344	1.00E-05	1.00E-03	GCF_019670485.1
Photobacterium sp. CCB-ST2H9	2912855	S	512	39	551	1.00E-05	1.00E-03	GCF_023151555.2
Photobacterium sp. TLY01	2907534	S	485	49	534	1.00E-05	1.00E-03	GCF_021432065.1
Photobacterium sp. GJ3	2829502	S	449	30	479	1.00E-05	1.00E-03	GCF_018199995.1
Photobacterium sp. DA100	3027472	S	353	174	527	1.00E-05	1.00E-03	GCF_029223585.1
Photobacterium sp. GSS17	3020715	S	266	434	700	1.00E-05	1.00E-03	GCF_028621875.1
Photobacterium atrarenae	865757	S	710	56	766	1.00E-05	1.00E-03	GCF_024380015.1
Photobacterium damselae	38293	S	463	139	602	1.00E-05	1.00E-03	GCF_030169005.1
Photobacterium leiognathi	553611	S	304	40	344	1.00E-05	1.00E-03	GCF_030716965.1
Photobacterium gaetbulicola	1295392	S	265	112	377	1.00E-05	1.00E-03	GCF_003025515.1
Salinivibrio kushneri	1908198	S	697	68	765	1.00E-05	1.00E-03	GCF_027286385.1
Grimontia hollisae	673	S	409	28	437	1.00E-05	1.00E-03	GCF_029223295.1
Acinetobacter indicus	756892	S	403	333	736	1.00E-05	1.00E-03	GCF_030329385.1
Acinetobacter johnsonii	40214	S	388	268	656	1.00E-05	1.00E-03	GCF_031157845.1
Acinetobacter lwoffii	28090	S	195	222	417	1.00E-05	1.00E-03	GCF_963518635.1
Acinetobacter towneri	202956	S	179	385	564	1.00E-05	1.00E-03	GCF_030329235.1
Acinetobacter variabilis	70346	S	135	204	339	1.00E-05	1.00E-03	GCF_032115155.1
Psychrobacter cryohalolentis	330922	S	39	554	593	1.00E-05	1.00E-03	GCF_904845985.1
Moraxella osloensis	34062	S	485	106	591	1.00E-05	1.00E-03	GCF_963515855.1
Moraxella sp. FZFQ2102	2953752	S	74	274	348	1.00E-05	1.00E-03	GCF_024137865.1
Thiomicrorhabdus xiamenensis	2739063	S	364	9	373	1.00E-05	1.00E-03	GCF_013282625.1
Methylophaga frappieri	754477	S	250	145	395	1.00E-05	1.00E-03	GCF_000260965.1
Thiomicrospira sp. S5	1803865	S	219	137	356	1.00E-05	1.00E-03	GCF_003991075.1
Hydrogenovibrio thermophilus	265883	S	235	146	381	1.00E-05	1.00E-03	GCF_004028275.1
Thiothrix subterranea	2735563	S	774	120	894	1.00E-05	1.00E-03	GCF_030931015.1
Thiothrix winogradskyi	96472	S	465	91	556	1.00E-05	1.00E-03	GCF_021650935.1
Thiothrix lacustris	525917	S	428	364	792	1.00E-05	1.00E-03	GCF_031020985.1
Thiothrix sp.	1032	S	333	51	384	1.00E-05	1.00E-03	GCF_028714775.1
Thiothrix unzii	111769	S	300	68	368	1.00E-05	1.00E-03	GCF_017901175.1
Thiothrix litoralis	2891210	S	299	444	743	1.00E-05	1.00E-03	GCF_017901135.1
Legionella sp. MW5194	2662448	S	432	69	501	1.00E-05	1.00E-03	GCF_016864235.1
Legionella pneumophila	446	S	590	165	755	1.00E-05	1.00E-03	GCF_031583635.1
Legionella geestiana	45065	S	529	28	557	1.00E-05	1.00E-03	GCF_004766445.2
Legionella spiritensis	452	S	458	41	499	1.00E-05	1.00E-03	GCF_900639955.1
Aquicella siphonis	254247	S	646	30	676	1.00E-05	1.00E-03	GCF_902459485.1
Aquicella lusitana	254246	S	645	32	677	1.00E-05	1.00E-03	GCF_902459475.1
Coxiella burnetii	777	S	524	118	642	1.00E-05	1.00E-03	GCF_032463305.1
Haemophilus parainfluenzae	729	S	315	68	383	1.00E-05	1.00E-03	GCF_030144815.1
Haemophilus influenzae	727	S	201	254	455	1.00E-05	1.00E-03	GCF_030554875.1
Actinobacillus sp. GY-402	2774188	S	269	124	393	1.00E-05	1.00E-03	GCF_014843355.1
Aggregatibacter actinomycetemcomitans	714	S	331	30	361	1.00E-05	1.00E-03	GCF_025449295.1
Mannheimia haemolytica	75985	S	115	718	833	1.00E-05	1.00E-03	GCF_030930935.1
Pasteurella multocida	747	S	245	210	455	1.00E-05	1.00E-03	GCF_032335655.1
Pasteurella sp. XG20	2844383	S	6	473	479	1.00E-05	1.00E-03	GCF_018968665.1
Gallaecimonas mangrovi	2291597	S	531	17	548	1.00E-05	1.00E-03	GCF_003367375.1
Pseudohongiella spirulinae	1249552	S	706	6	712	1.00E-05	1.00E-03	GCF_001444425.1
Acidithiobacillus sp. 'AMD consortium'	2614801	S	50	411	461	1.00E-05	1.00E-03	GCF_008926505.1
Acidithiobacillus ferriphilus	1689834	S	799	31	830	1.00E-05	1.00E-03	GCF_028215975.1
Acidithiobacillus ferrooxidans	920	S	767	172	939	1.00E-05	1.00E-03	GCF_024626545.1
Acidithiobacillus thiooxidans	930	S	629	10	639	1.00E-05	1.00E-03	GCF_031460335.1
Mariprofundus ferrinatatus	1921087	S	680	53	733	1.00E-05	1.00E-03	GCF_002795825.1
Mariprofundus aestuarium	1921086	S	488	42	530	1.00E-05	1.00E-03	GCF_002795805.1
Poriferisphaera corsica	2528020	S	786	0	786	1.00E-05	1.00E-03	GCF_007747445.1
Sedimentisphaera salicampi	1941349	S	350	36	386	1.00E-05	1.00E-03	GCF_002239625.1
Sedimentisphaera cyanobacteriorum	1940790	S	228	358	586	1.00E-05	1.00E-03	GCF_001997385.1
Limihaloglobus sulfuriphilus	1851148	S	476	3	479	1.00E-05	1.00E-03	GCF_001999965.1
Candidatus Kuenenia stuttgartiensis	174633	S	700	0	700	1.00E-05	1.00E-03	GCF_011066545.1
Candidatus Uabimicrobium amorphum	2596890	S	526	0	526	1.00E-05	1.00E-03	GCF_009002475.1
Coraliomargarita akajimensis	395922	S	704	0	704	1.00E-05	1.00E-03	GCF_000025905.1
Candidatus Pelagisphaera phototrophica	2684113	S	549	0	549	1.00E-05	1.00E-03	GCF_014529625.1
Methylacidiphilum infernorum	511746	S	82	246	328	1.00E-05	1.00E-03	GCF_017310525.1
Candidatus Velamenicoccus archaeovorus	1930593	S	917	0	917	1.00E-05	1.00E-03	GCF_004102945.1
Hymenobacter sp. DG25A	1385663	S	767	99	866	1.00E-05	1.00E-03	GCF_001280305.1
Hymenobacter radiodurans	2496028	S	485	433	918	1.00E-05	1.00E-03	GCF_004355185.1
Pontibacter sp. SGAir0037	2571030	S	600	95	695	1.00E-05	1.00E-03	GCF_005491705.1
Pontibacter korlensis	400092	S	455	38	493	1.00E-05	1.00E-03	GCF_000973725.1
Pontibacter pudoricolor	2694930	S	409	34	443	1.00E-05	1.00E-03	GCF_010092985.1
Rufibacter sp. DG15C	1379909	S	599	157	756	1.00E-05	1.00E-03	GCF_001577755.1
Rufibacter tibetensis	512763	S	525	46	571	1.00E-05	1.00E-03	GCF_001310085.1
Adhaeribacter swui	2086471	S	614	43	657	1.00E-05	1.00E-03	GCF_014217805.1
Adhaeribacter radiodurans	2745197	S	530	27	557	1.00E-05	1.00E-03	GCF_014075995.1
Nibribacter ruber	2698458	S	557	142	699	1.00E-05	1.00E-03	GCF_009913235.1
Spirosoma sp. KCTC 42546	2520506	S	872	35	907	1.00E-05	1.00E-03	GCF_006965485.1
Spirosoma montaniterrae	1178516	S	957	11	968	1.00E-05	1.00E-03	GCF_001988955.1
Spirosoma foliorum	2710596	S	891	40	931	1.00E-05	1.00E-03	GCF_014117325.1
Spirosoma aerolatum	1211326	S	749	15	764	1.00E-05	1.00E-03	GCF_002056795.1
Spirosoma aureum	2692134	S	651	286	937	1.00E-05	1.00E-03	GCF_011604685.1
Rhodocytophaga rosea	2704465	S	711	3	714	1.00E-05	1.00E-03	GCF_010119975.1
Dyadobacter pollutisoli	2910158	S	766	39	805	1.00E-05	1.00E-03	GCF_026625565.1
Dyadobacter fanqingshengii	2906443	S	653	98	751	1.00E-05	1.00E-03	GCF_023822005.2
Dyadobacter chenwenxiniae	2906456	S	651	38	689	1.00E-05	1.00E-03	GCF_022869785.1
Dyadobacter chenhuakuii	2909339	S	636	87	723	1.00E-05	1.00E-03	GCF_023821985.2
Dyadobacter sp. NIV53	2861765	S	481	15	496	1.00E-05	1.00E-03	GCF_019711195.1
Larkinella sp. IE-0392	2907205	S	697	102	799	1.00E-05	1.00E-03	GCF_021484805.1
Runella slithyformis	106	S	831	26	857	1.00E-05	1.00E-03	GCF_000218895.1
Runella rosea	2259595	S	580	22	602	1.00E-05	1.00E-03	GCF_003325355.1
Runella sp. SP2	2268026	S	444	6	450	1.00E-05	1.00E-03	GCF_003711225.1
Emticicia sp. 21SJ11W-3	2916755	S	405	8	413	1.00E-05	1.00E-03	GCF_024138715.1
Echinicola strongylocentroti	1795355	S	306	20	326	1.00E-05	1.00E-03	GCF_003260975.1
Echinicola vietnamensis	390884	S	292	152	444	1.00E-05	1.00E-03	GCF_000325705.1
Echinicola rosea	1807691	S	263	91	354	1.00E-05	1.00E-03	GCF_014642715.1
Algoriphagus sp. Y33	2772483	S	332	17	349	1.00E-05	1.00E-03	GCF_014838715.1
Fulvivirga ulvae	2904245	S	359	22	381	1.00E-05	1.00E-03	GCF_021389975.1
Catalinimonas niigatensis	1397264	S	555	39	594	1.00E-05	1.00E-03	GCF_030506285.1
Tunicatimonas pelagia	931531	S	399	1	400	1.00E-05	1.00E-03	GCF_030506325.1
Pedobacter sp. KBS0701	2578106	S	774	174	948	1.00E-05	1.00E-03	GCF_005938645.2
Pedobacter sp. D749	2856523	S	664	154	818	1.00E-05	1.00E-03	GCF_019317285.1
Pedobacter sp. HDW13	2714940	S	631	59	690	1.00E-05	1.00E-03	GCF_011303555.1
Pedobacter sp. G11	2482728	S	515	56	571	1.00E-05	1.00E-03	GCF_003860265.1
Pedobacter sp.	1411316	S	463	40	503	1.00E-05	1.00E-03	GCF_031119335.1
Pedobacter sp. SL55	2995161	S	393	15	408	1.00E-05	1.00E-03	GCF_026625705.1
Pedobacter sp. PACM 27299	1727164	S	283	99	382	1.00E-05	1.00E-03	GCF_001412655.1
Pedobacter ginsengisoli	363852	S	864	74	938	1.00E-05	1.00E-03	GCF_030244015.1
Pedobacter roseus	336820	S	629	128	757	1.00E-05	1.00E-03	GCF_014395225.1
Pedobacter endophyticus	2789740	S	588	35	623	1.00E-05	1.00E-03	GCF_015679185.1
Pedobacter steynii	430522	S	553	36	589	1.00E-05	1.00E-03	GCF_013204785.1
Pedobacter suwonensis	332999	S	519	79	598	1.00E-05	1.00E-03	GCF_007833675.1
Pedobacter schmidteae	2201271	S	508	32	540	1.00E-05	1.00E-03	GCF_900564155.1
Pedobacter cryoconitis	188932	S	449	70	519	1.00E-05	1.00E-03	GCF_019352875.1
Pedobacter mucosus	2895286	S	419	19	438	1.00E-05	1.00E-03	GCF_022200785.1
Pedobacter aquae	2605747	S	316	9	325	1.00E-05	1.00E-03	GCF_008195825.1
Pedobacter gandavensis	2679963	S	308	207	515	1.00E-05	1.00E-03	GCF_029909495.1
Sphingobacterium sp. ML3W	1538644	S	444	117	561	1.00E-05	1.00E-03	GCF_029542085.1
Sphingobacterium sp. KACC 22765	3025669	S	361	16	377	1.00E-05	1.00E-03	GCF_028736175.1
Sphingobacterium sp. CZ-2	2557994	S	270	58	328	1.00E-05	1.00E-03	GCF_004526235.1
Sphingobacterium sp. UDSM-2020	2795738	S	204	174	378	1.00E-05	1.00E-03	GCF_016132525.1
Sphingobacterium spiritivorum	258	S	498	346	844	1.00E-05	1.00E-03	GCF_016725645.1
Sphingobacterium thalpophilum	259	S	338	402	740	1.00E-05	1.00E-03	GCF_030005665.1
Sphingobacterium hotanense	649196	S	313	93	406	1.00E-05	1.00E-03	GCF_030324445.1
Sphingobacterium lactis	797291	S	259	237	496	1.00E-05	1.00E-03	GCF_011046555.1
Sphingobacterium multivorum	28454	S	245	487	732	1.00E-05	1.00E-03	GCF_032115615.1
Anseongella ginsenosidimutans	496056	S	807	7	814	1.00E-05	1.00E-03	GCF_008033235.1
Olivibacter sp. LS-1	2592345	S	386	13	399	1.00E-05	1.00E-03	GCF_008245145.1
Olivibacter sp. SDN3	2764720	S	348	38	386	1.00E-05	1.00E-03	GCF_014334135.1
Solitalea canadensis	995	S	332	13	345	1.00E-05	1.00E-03	GCF_000242635.2
Pseudopedobacter saltans	151895	S	262	220	482	1.00E-05	1.00E-03	GCF_000190735.1
Flavobacterium sp. N1736	2986823	S	585	122	707	1.00E-05	1.00E-03	GCF_025947065.1
Flavobacterium sp. KBS0721	1179672	S	584	187	771	1.00E-05	1.00E-03	GCF_002007065.3
Flavobacterium sp. CLA17	2724135	S	437	68	505	1.00E-05	1.00E-03	GCF_013112255.2
Flavobacterium sp. F-323	2893885	S	409	70	479	1.00E-05	1.00E-03	GCF_020911925.1
Flavobacterium sp. SLB02	2665645	S	379	100	479	1.00E-05	1.00E-03	GCF_009664855.1
Flavobacterium sp. IMCC34852	2732161	S	352	52	404	1.00E-05	1.00E-03	GCF_030643905.1
Flavobacterium sp. ZE23DGlu08	3059026	S	346	109	455	1.00E-05	1.00E-03	GCF_030505335.1
Flavobacterium sp. F-29	2893883	S	333	61	394	1.00E-05	1.00E-03	GCF_020911885.1
Flavobacterium sp. CJ74	2294119	S	332	10	342	1.00E-05	1.00E-03	GCF_003403075.1
Flavobacterium sp. N2038	2986829	S	326	74	400	1.00E-05	1.00E-03	GCF_025947185.1
Flavobacterium sp. F-70	2893884	S	325	55	380	1.00E-05	1.00E-03	GCF_020911905.1
Flavobacterium sp. K5-23	2746225	S	303	41	344	1.00E-05	1.00E-03	GCF_023278045.1
Flavobacterium sp. Sr18	935222	S	296	72	368	1.00E-05	1.00E-03	GCF_011064265.1
Flavobacterium sp. CJ75	3034146	S	289	103	392	1.00E-05	1.00E-03	GCF_030378165.1
Flavobacterium sp. 140616W15	2478552	S	288	41	329	1.00E-05	1.00E-03	GCF_003668995.1
Flavobacterium sp. TR2	2977321	S	275	145	420	1.00E-05	1.00E-03	GCF_025252405.1
Flavobacterium sp. N502536	2986837	S	272	102	374	1.00E-05	1.00E-03	GCF_025947345.1
Flavobacterium sp. YJ01	3031997	S	270	219	489	1.00E-05	1.00E-03	GCF_029320955.1
Flavobacterium sp. GSB-24	2994319	S	265	106	371	1.00E-05	1.00E-03	GCF_027924665.1
Flavobacterium sp. KACC 22763	3025668	S	188	180	368	1.00E-05	1.00E-03	GCF_028736155.1
Flavobacterium sp. B183	907046	S	185	239	424	1.00E-05	1.00E-03	GCF_023539155.1
Flavobacterium sp. N502540	2986838	S	174	190	364	1.00E-05	1.00E-03	GCF_025947365.1
